"Series Description","Nonfinancial business; debt securities and loans; liability","Nonfinancial corporate business; corporate equities; liability","Nonfinancial corporate business; net dividends paid","Farm business; net dividends paid","Nonfinancial noncorporate business; proprietors' equity in noncorporate business (net worth)"
"Unit:","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD"
"Unique Identifier: ","Z1/Z1/FA144104005.Q","Z1/Z1/FA103164103.Q","Z1/Z1/FA106121075.Q","Z1/OTHER/FA136121073.Q","Z1/Z1/FA112090205.Q"
"Time Period","FA144104005.Q","FA103164103.Q","FA106121075.Q","FA136121073.Q","FA112090205.Q"
1952Q1,6492.0,2292.0,6660.0,36.0,5579.0
1952Q2,9132.0,2656.0,7236.0,36.0,-6.0
1952Q3,9624.0,1560.0,7056.0,36.0,1705.0
1952Q4,9676.0,2772.0,7260.0,36.0,2876.0
1953Q1,7040.0,2072.0,6848.0,28.0,1568.0
1953Q2,6028.0,2180.0,7440.0,32.0,-453.0
1953Q3,6592.0,1260.0,7416.0,32.0,717.0
1953Q4,-576.0,1552.0,7268.0,32.0,9820.0
1954Q1,6112.0,2948.0,7572.0,28.0,-1745.0
1954Q2,4704.0,2088.0,7048.0,28.0,-3056.0
1954Q3,8676.0,912.0,7424.0,28.0,-3067.0
1954Q4,5104.0,384.0,7384.0,28.0,3534.0
1955Q1,6908.0,2124.0,7984.0,24.0,-554.0
1955Q2,13572.0,640.0,8216.0,28.0,-4618.0
1955Q3,11712.0,1112.0,8704.0,28.0,-2602.0
1955Q4,17392.0,3000.0,8756.0,28.0,3469.0
1956Q1,12676.0,2088.0,8880.0,24.0,751.0
1956Q2,15112.0,936.0,8944.0,24.0,-2442.0
1956Q3,12524.0,2292.0,8868.0,24.0,-1400.0
1956Q4,11032.0,3684.0,9336.0,24.0,3164.0
1957Q1,12344.0,3040.0,9288.0,28.0,1114.0
1957Q2,14872.0,3612.0,9148.0,32.0,-33.0
1957Q3,11004.0,1196.0,9232.0,32.0,82.0
1957Q4,10260.0,1916.0,9236.0,28.0,410.0
1958Q1,9628.0,884.0,9232.0,32.0,2987.0
1958Q2,8304.0,3432.0,9224.0,32.0,1887.0
1958Q3,10948.0,1940.0,9132.0,32.0,3222.0
1958Q4,15660.0,1616.0,8872.0,32.0,3442.0
1959Q1,10520.0,2044.0,9480.0,10.0,-2925.0
1959Q2,20344.0,2952.0,9856.0,10.0,-7727.0
1959Q3,13272.0,1040.0,9944.0,10.0,-6828.0
1959Q4,14464.0,2276.0,9984.0,10.0,-592.0
1960Q1,14904.0,1404.0,10324.0,40.0,-200.0
1960Q2,15916.0,1476.0,10340.0,40.0,-1772.0
1960Q3,10104.0,1600.0,10696.0,40.0,-855.0
1960Q4,13964.0,980.0,10460.0,40.0,-721.0
1961Q1,9556.0,2680.0,10256.0,36.0,-5154.0
1961Q2,13404.0,4672.0,10464.0,36.0,963.0
